# OS-CFAR multiplier lookup table
# Columns: window,rank,pfa,multiplier
window,rank,pfa,multiplier
8,2,1e-03,7.368455397576e+00
8,2,1e-06,2.780079126358e+01
8,2,1e-09,8.285327148438e+01
8,4,1e-03,1.724236604176e+01
8,4,1e-06,8.636868619919e+01
8,4,1e-09,3.616855468750e+02
8,8,1e-03,7.992000000000e+03
8,8,1e-06,7.999992000000e+06
8,8,1e-09,8.000176128000e+09
16,2,1e-03,4.023987050692e+00
16,2,1e-06,1.089506772161e+01
16,2,1e-09,2.206814575195e+01
16,4,1e-03,6.138166077959e+00
16,4,1e-06,1.695271807909e+01
16,4,1e-09,3.556030273438e+01
16,8,1e-03,1.336830203846e+01
16,8,1e-06,4.243070256710e+01
16,8,1e-09,1.051638183594e+02
32,2,1e-03,2.764025450721e+00
32,2,1e-06,6.579745620489e+00
32,2,1e-09,1.159780883789e+01
32,4,1e-03,3.674479857174e+00
32,4,1e-06,8.615657091141e+00
32,4,1e-09,1.508731079102e+01
32,8,1e-03,5.550893106018e+00
32,8,1e-06,1.307534715533e+01
32,8,1e-09,2.314535522461e+01
